 mass A  
t x y 
4.885584E1 -2.939214E2 -4.305347E2
4.888926E1 -3.241140E2 -4.063180E2
4.892268E1 -3.461371E2 -3.861420E2
4.895609E1 -3.606803E2 -3.696303E2
4.898951E1 -3.680764E2 -3.574401E2
4.902293E1 -3.714210E2 -3.536648E2
4.905635E1 -3.696246E2 -3.565850E2
4.908976E1 -3.619209E2 -3.663115E2
4.912318E1 -3.458664E2 -3.806402E2
4.915660E1 -3.247584E2 -4.004712E2
4.919001E1 -2.970659E2 -4.230530E2
4.922343E1 -2.620855E2 -4.463875E2
4.925685E1 -2.220288E2 -4.689184E2
4.929027E1 -1.764202E2 -4.899649E2
4.932368E1 -1.221580E2 -5.062605E2
4.935710E1 -6.464363E1 -5.166332E2
4.939052E1 -2.578781E0 -5.213760E2
4.942393E1 5.793012E1 -5.166046E2
4.945735E1 1.169667E2 -5.060250E2
4.949077E1 1.740544E2 -4.883466E2
4.952419E1 2.265095E2 -4.649518E2
4.955760E1 2.729729E2 -4.404986E2
4.959102E1 3.070531E2 -4.218184E2
4.962444E1 3.467506E2 -3.945996E2
4.965785E1 3.730235E2 -3.724507E2
4.969127E1 3.794249E2 -3.648871E2
4.972469E1 3.892508E2 -3.550191E2
4.975811E1 3.921539E2 -3.516473E2
4.979152E1 3.892557E2 -3.547118E2
4.982494E1 3.787615E2 -3.650581E2
4.985836E1 3.580772E2 -3.774981E2
4.989177E1 3.374196E2 -4.021586E2
4.992519E1 3.012797E2 -4.230838E2
4.995861E1 2.615498E2 -4.469350E2
4.999203E1 2.144630E2 -4.708565E2
5.002544E1 1.610420E2 -4.929384E2
5.005886E1 1.004720E2 -5.087577E2
5.009228E1 3.698080E1 -5.183513E2
5.012569E1 -2.584572E1 -5.195115E2
5.015911E1 -8.901067E1 -5.130822E2
5.019253E1 -1.460026E2 -4.997489E2
5.022595E1 -1.951139E2 -4.814867E2
5.025936E1 -2.430824E2 -4.610695E2
5.029278E1 -2.827185E2 -4.382562E2
5.032620E1 -3.113138E2 -4.126726E2
5.035961E1 -3.347543E2 -3.906604E2
5.039303E1 -3.525614E2 -3.745490E2
5.042645E1 -3.633721E2 -3.626979E2
5.045987E1 -3.680706E2 -3.565041E2
5.049328E1 -3.674042E2 -3.579478E2
5.052670E1 -3.609975E2 -3.652638E2
5.056012E1 -3.487436E2 -3.793928E2
5.059353E1 -3.289406E2 -3.972895E2
5.062695E1 -3.025631E2 -4.188082E2
5.066037E1 -2.696614E2 -4.415414E2
5.069379E1 -2.312157E2 -4.644914E2
